"Date","Price"
"Jun 24, 2022",21114.5
"Jun 23, 2022",21100.7
"Jun 22, 2022",19965.8
"Jun 21, 2022",20720.4
"Jun 20, 2022",20572.3
"Jun 19, 2022",20577.2
"Jun 18, 2022",18986.5
"Jun 17, 2022",20444.6
"Jun 16, 2022",20386.6
"Jun 15, 2022",22577.9
"Jun 14, 2022",22157.3
"Jun 13, 2022",22448.0
"Jun 12, 2022",26606.3
"Jun 11, 2022",28403.4
"Jun 10, 2022",29083.3
"Jun 09, 2022",30097.8
"Jun 08, 2022",30201.6
"Jun 07, 2022",31128.8
"Jun 06, 2022",31367.6
"Jun 05, 2022",29913.0
"Jun 04, 2022",29864.3
"Jun 03, 2022",29700.9
"Jun 02, 2022",30455.5
"Jun 01, 2022",29798.5
"May 31, 2022",31793.4
"May 30, 2022",31723.3
"May 29, 2022",29465.2
"May 28, 2022",29027.1
"May 27, 2022",28601.2
"May 26, 2022",29203.5
"May 25, 2022",29540.6
"May 24, 2022",29648.7
"May 23, 2022",29093.3
"May 22, 2022",30286.6
"May 21, 2022",29434.6
"May 20, 2022",29178.6
"May 19, 2022",30305.9
"May 18, 2022",28683.7
"May 17, 2022",30437.5
"May 16, 2022",29849.0
"May 15, 2022",31308.7
"May 14, 2022",30080.4
"May 13, 2022",29284.4
"May 12, 2022",28976.0
"May 11, 2022",29068.2
"May 10, 2022",31007.5
"May 09, 2022",30095.0
"May 08, 2022",34060.0
"May 07, 2022",35468.0
"May 06, 2022",36009.0
"May 05, 2022",36544.0
"May 04, 2022",39688.0
"May 03, 2022",37718.0
"May 02, 2022",38514.0
"May 01, 2022",38461.0
"Apr 30, 2022",37650.0
"Apr 29, 2022",38581.0
"Apr 28, 2022",39748.0
"Apr 27, 2022",39243.0
"Apr 26, 2022",38113.0
"Apr 25, 2022",40427.0
"Apr 24, 2022",39464.0
"Apr 23, 2022",39418.0
"Apr 22, 2022",39709.0
"Apr 21, 2022",40482.0
"Apr 20, 2022",41368.0
"Apr 19, 2022",41503.0
"Apr 18, 2022",40803.0
"Apr 17, 2022",39703.0
"Apr 16, 2022",40382.0
"Apr 15, 2022",40560.0
"Apr 14, 2022",39936.0
"Apr 13, 2022",41133.0
"Apr 12, 2022",40078.0
"Apr 11, 2022",39497.0
"Apr 10, 2022",42138.0
"Apr 09, 2022",42767.0
"Apr 08, 2022",42275.0
"Apr 07, 2022",43448.0
"Apr 06, 2022",43173.0
"Apr 05, 2022",45506.0
"Apr 04, 2022",46629.0
"Apr 03, 2022",46407.0
"Apr 02, 2022",45811.0
"Apr 01, 2022",46297.0
"Mar 31, 2022",45525.0
"Mar 30, 2022",47075.0
"Mar 29, 2022",47449.0
"Mar 28, 2022",47105.0
"Mar 27, 2022",46859.0
"Mar 26, 2022",44548.0
"Mar 25, 2022",44331.0
"Mar 24, 2022",44013.0
"Mar 23, 2022",42912.0
"Mar 22, 2022",42373.0
"Mar 21, 2022",41022.0
"Mar 20, 2022",41276.0
"Mar 19, 2022",42233.0
"Mar 18, 2022",41767.8
"Mar 17, 2022",40914.8
"Mar 16, 2022",41118.7
"Mar 15, 2022",39285.7
"Mar 14, 2022",39671.1
"Mar 13, 2022",37792.4
"Mar 12, 2022",38814.3
"Mar 11, 2022",38730.2
"Mar 10, 2022",39416.3
"Mar 09, 2022",41929.0
"Mar 08, 2022",38744.8
"Mar 07, 2022",38024.8
"Mar 06, 2022",38403.1
"Mar 05, 2022",39395.8
"Mar 04, 2022",39142.7
"Mar 03, 2022",42463.0
"Mar 02, 2022",43912.8
"Mar 01, 2022",44420.3
"Feb 28, 2022",43188.2
"Feb 27, 2022",37689.1
"Feb 26, 2022",39115.5
"Feb 25, 2022",39209.6
"Feb 24, 2022",38339.2
"Feb 23, 2022",37224.6
"Feb 22, 2022",38248.2
"Feb 21, 2022",37017.7
"Feb 20, 2022",38355.0
"Feb 19, 2022",40090.3
"Feb 18, 2022",40000.1
"Feb 17, 2022",40552.8
"Feb 16, 2022",43883.6
"Feb 15, 2022",44544.4
"Feb 14, 2022",42550.3
"Feb 13, 2022",42061.1
"Feb 12, 2022",42205.2
"Feb 11, 2022",42388.4
"Feb 10, 2022",43521.0
"Feb 09, 2022",44388.9
"Feb 08, 2022",44038.2
"Feb 07, 2022",43833.9
"Feb 06, 2022",42392.2
"Feb 05, 2022",41412.1
"Feb 04, 2022",41567.6
"Feb 03, 2022",37287.8
"Feb 02, 2022",36890.2
"Feb 01, 2022",38709.7
"Jan 31, 2022",38498.6
"Jan 30, 2022",37917.7
"Jan 29, 2022",38170.8
"Jan 28, 2022",37745.1
"Jan 27, 2022",37164.3
"Jan 26, 2022",36800.4
"Jan 25, 2022",36950.6
"Jan 24, 2022",36686.3
"Jan 23, 2022",36269.5
"Jan 22, 2022",35075.2
"Jan 21, 2022",36475.5
"Jan 20, 2022",40715.9
"Jan 19, 2022",41677.8
"Jan 18, 2022",42364.6
"Jan 17, 2022",42209.3
"Jan 16, 2022",43079.1
"Jan 15, 2022",43097.0
"Jan 14, 2022",43073.3
"Jan 13, 2022",42560.0
"Jan 12, 2022",43901.0
"Jan 11, 2022",42733.2
"Jan 10, 2022",41832.2
"Jan 09, 2022",41848.3
"Jan 08, 2022",41672.0
"Jan 07, 2022",41546.7
"Jan 06, 2022",43097.5
"Jan 05, 2022",43425.9
"Jan 04, 2022",45837.3
"Jan 03, 2022",46430.2
"Jan 02, 2022",47311.8
"Jan 01, 2022",47738.0
"Dec 31, 2021",46219.5
"Dec 30, 2021",47123.3
"Dec 29, 2021",46461.7
"Dec 28, 2021",47545.2
"Dec 27, 2021",50678.2
"Dec 26, 2021",50779.9
"Dec 25, 2021",50406.4
"Dec 24, 2021",50786.1
"Dec 23, 2021",50801.0
"Dec 22, 2021",48599.7
"Dec 21, 2021",48902.0
"Dec 20, 2021",46895.2
"Dec 19, 2021",46704.5
"Dec 18, 2021",46856.2
"Dec 17, 2021",46172.2
"Dec 16, 2021",47628.2
"Dec 15, 2021",48871.5
"Dec 14, 2021",48366.5
"Dec 13, 2021",46703.6
"Dec 12, 2021",50081.0
"Dec 11, 2021",49314.5
"Dec 10, 2021",47137.2
"Dec 09, 2021",47596.6
"Dec 08, 2021",50473.9
"Dec 07, 2021",50595.2
"Dec 06, 2021",50562.1
"Dec 05, 2021",49405.5
"Dec 04, 2021",49195.2
"Dec 03, 2021",53631.5
"Dec 02, 2021",56496.0
"Dec 01, 2021",57210.3
"Nov 30, 2021",56882.9
"Nov 29, 2021",57794.8
"Nov 28, 2021",57291.5
"Nov 27, 2021",54765.9
"Nov 26, 2021",53730.9
"Nov 25, 2021",58935.1
"Nov 24, 2021",57171.7
"Nov 23, 2021",57573.2
"Nov 22, 2021",56308.8
"Nov 21, 2021",58714.3
"Nov 20, 2021",59717.6
"Nov 19, 2021",58083.4
"Nov 18, 2021",56955.3
"Nov 17, 2021",60367.8
"Nov 16, 2021",60089.1
"Nov 15, 2021",63597.9
"Nov 14, 2021",65508.2
"Nov 13, 2021",64398.6
"Nov 12, 2021",64134.5
"Nov 11, 2021",64806.7
"Nov 10, 2021",64932.6
"Nov 09, 2021",66904.4
"Nov 08, 2021",67527.9
"Nov 07, 2021",63273.2
"Nov 06, 2021",61483.9
"Nov 05, 2021",60974.3
"Nov 04, 2021",61412.6
"Nov 03, 2021",62918.5
"Nov 02, 2021",63221.7
"Nov 01, 2021",60915.3
"Oct 31, 2021",61309.6
"Oct 30, 2021",61840.1
"Oct 29, 2021",62242.8
"Oct 28, 2021",60582.5
"Oct 27, 2021",58438.1
"Oct 26, 2021",60310.8
"Oct 25, 2021",63067.0
"Oct 24, 2021",60866.5
"Oct 23, 2021",61312.5
"Oct 22, 2021",60690.3
"Oct 21, 2021",62210.2
"Oct 20, 2021",65979.1
"Oct 19, 2021",64278.5
"Oct 18, 2021",62056.3
"Oct 17, 2021",61527.5
"Oct 16, 2021",60861.1
"Oct 15, 2021",61672.5
"Oct 14, 2021",57345.8
"Oct 13, 2021",57380.1
"Oct 12, 2021",56015.9
"Oct 11, 2021",57477.3
"Oct 10, 2021",54687.7
"Oct 09, 2021",54942.5
"Oct 08, 2021",53914.7
"Oct 07, 2021",53783.9
"Oct 06, 2021",55323.2
"Oct 05, 2021",51469.3
"Oct 04, 2021",49227.3
"Oct 03, 2021",48200.1
"Oct 02, 2021",47666.9
"Oct 01, 2021",48146.0
"Sep 30, 2021",43823.3
"Sep 29, 2021",41536.8
"Sep 28, 2021",41022.3
"Sep 27, 2021",42172.6
"Sep 26, 2021",43203.4
"Sep 25, 2021",42686.8
"Sep 24, 2021",42819.9
"Sep 23, 2021",44869.2
"Sep 22, 2021",43551.6
"Sep 21, 2021",40651.3
"Sep 20, 2021",42870.6
"Sep 19, 2021",47238.7
"Sep 18, 2021",48306.7
"Sep 17, 2021",47282.8
"Sep 16, 2021",47748.0
"Sep 15, 2021",48130.6
"Sep 14, 2021",47077.5
"Sep 13, 2021",44949.5
"Sep 12, 2021",46062.3
"Sep 11, 2021",45161.9
"Sep 10, 2021",44842.8
"Sep 09, 2021",46385.6
"Sep 08, 2021",46061.4
"Sep 07, 2021",46779.6
"Sep 06, 2021",52672.1
"Sep 05, 2021",51768.6
"Sep 04, 2021",49918.4
"Sep 03, 2021",49999.0
"Sep 02, 2021",49274.3
"Sep 01, 2021",48819.4
"Aug 31, 2021",47130.4
"Aug 30, 2021",46992.7
"Aug 29, 2021",48777.4
"Aug 28, 2021",48897.1
"Aug 27, 2021",49064.3
"Aug 26, 2021",46831.6
"Aug 25, 2021",48994.5
"Aug 24, 2021",47714.7
"Aug 23, 2021",49539.7
"Aug 22, 2021",49254.5
"Aug 21, 2021",48875.8
"Aug 20, 2021",49324.0
"Aug 19, 2021",46755.9
"Aug 18, 2021",44723.8
"Aug 17, 2021",44691.6
"Aug 16, 2021",45996.3
"Aug 15, 2021",46991.3
"Aug 14, 2021",47081.5
"Aug 13, 2021",47809.1
"Aug 12, 2021",44403.4
"Aug 11, 2021",45564.3
"Aug 10, 2021",45593.8
"Aug 09, 2021",46284.3
"Aug 08, 2021",43792.8
"Aug 07, 2021",44614.2
"Aug 06, 2021",42795.4
"Aug 05, 2021",40867.2
"Aug 04, 2021",39736.9
"Aug 03, 2021",38130.3
"Aug 02, 2021",39168.4
"Aug 01, 2021",39878.3
"Jul 31, 2021",41553.7
"Jul 30, 2021",42203.4
"Jul 29, 2021",40001.4
"Jul 28, 2021",40003.2
"Jul 27, 2021",39452.0
"Jul 26, 2021",37276.6
"Jul 25, 2021",35391.1
"Jul 24, 2021",33824.8
"Jul 23, 2021",33603.3
"Jul 22, 2021",32298.9
"Jul 21, 2021",32131.4
"Jul 20, 2021",29793.8
"Jul 19, 2021",30837.2
"Jul 18, 2021",31785.4
"Jul 17, 2021",31518.6
"Jul 16, 2021",31394.0
"Jul 15, 2021",31840.5
"Jul 14, 2021",32820.7
"Jul 13, 2021",32728.1
"Jul 12, 2021",33113.0
"Jul 11, 2021",34227.7
"Jul 10, 2021",33510.6
"Jul 09, 2021",33797.4
"Jul 08, 2021",32866.3
"Jul 07, 2021",33867.8
"Jul 06, 2021",34225.6
"Jul 05, 2021",33687.8
"Jul 04, 2021",35298.2
"Jul 03, 2021",34742.8
"Jul 02, 2021",33813.4
"Jul 01, 2021",33543.6
"Jun 30, 2021",35026.9
"Jun 29, 2021",35834.7
"Jun 28, 2021",34475.9
"Jun 27, 2021",34678.5
"Jun 26, 2021",32243.4
"Jun 25, 2021",31594.0
"Jun 24, 2021",34665.8
"Jun 23, 2021",33674.3
"Jun 22, 2021",32496.4
"Jun 21, 2021",31692.0
"Jun 20, 2021",35595.8
"Jun 19, 2021",35513.4
"Jun 18, 2021",35749.4
"Jun 17, 2021",38052.0
"Jun 16, 2021",38336.0
"Jun 15, 2021",40156.1
"Jun 14, 2021",40529.4
"Jun 13, 2021",39022.9
"Jun 12, 2021",35467.5
"Jun 11, 2021",37314.6
"Jun 10, 2021",36649.4
"Jun 09, 2021",37332.2
"Jun 08, 2021",33382.9
"Jun 07, 2021",33578.0
"Jun 06, 2021",35815.4
"Jun 05, 2021",35520.0
"Jun 04, 2021",36851.3
"Jun 03, 2021",39187.3
"Jun 02, 2021",37555.8
"Jun 01, 2021",36687.6
"May 31, 2021",37298.6
"May 30, 2021",35652.8
"May 29, 2021",34584.6
"May 28, 2021",35662.5
"May 27, 2021",38417.3
"May 26, 2021",39249.2
"May 25, 2021",38378.3
"May 24, 2021",38750.6
"May 23, 2021",34679.7
"May 22, 2021",37448.3
"May 21, 2021",37297.4
"May 20, 2021",40717.2
"May 19, 2021",36720.5
"May 18, 2021",42897.3
"May 17, 2021",43541.3
"May 16, 2021",46426.4
"May 15, 2021",46708.8
"May 14, 2021",49839.8
"May 13, 2021",49704.6
"May 12, 2021",49384.2
"May 11, 2021",56695.7
"May 10, 2021",55848.9
"May 09, 2021",58238.3
"May 08, 2021",58840.1
"May 07, 2021",57337.2
"May 06, 2021",56405.4
"May 05, 2021",57441.3
"May 04, 2021",53741.5
"May 03, 2021",57169.8
"May 02, 2021",56603.8
"May 01, 2021",57807.1
"Apr 30, 2021",57720.3
"Apr 29, 2021",53560.8
"Apr 28, 2021",54841.4
"Apr 27, 2021",55036.5
"Apr 26, 2021",54020.5
"Apr 25, 2021",48963.6
"Apr 24, 2021",50088.9
"Apr 23, 2021",51143.6
"Apr 22, 2021",51729.5
"Apr 21, 2021",53820.2
"Apr 20, 2021",56483.2
"Apr 19, 2021",55646.1
"Apr 18, 2021",56207.1
"Apr 17, 2021",60041.9
"Apr 16, 2021",61379.7
"Apr 15, 2021",63216.0
"Apr 14, 2021",62980.4
"Apr 13, 2021",63540.9
"Apr 12, 2021",59863.8
"Apr 11, 2021",59978.7
"Apr 10, 2021",59748.4
"Apr 09, 2021",58118.7
"Apr 08, 2021",58077.4
"Apr 07, 2021",55948.7
"Apr 06, 2021",57996.3
"Apr 05, 2021",58993.4
"Apr 04, 2021",58199.9
"Apr 03, 2021",57059.9
"Apr 02, 2021",58977.3
"Apr 01, 2021",58718.3
"Mar 31, 2021",58763.7
"Mar 30, 2021",58771.3
"Mar 29, 2021",57616.2
"Mar 28, 2021",55765.2
"Mar 27, 2021",55862.9
"Mar 26, 2021",55036.1
"Mar 25, 2021",51322.3
"Mar 24, 2021",52325.4
"Mar 23, 2021",54452.5
"Mar 22, 2021",54158.3
"Mar 21, 2021",57383.8
"Mar 20, 2021",58093.4
"Mar 19, 2021",58088.0
"Mar 18, 2021",57656.0
"Mar 17, 2021",58913.5
"Mar 16, 2021",56889.7
"Mar 15, 2021",55791.3
"Mar 14, 2021",59113.7
"Mar 13, 2021",61195.3
"Mar 12, 2021",57265.1
"Mar 11, 2021",57799.5
"Mar 10, 2021",55851.9
"Mar 09, 2021",54879.0
"Mar 08, 2021",52311.0
"Mar 07, 2021",50982.3
"Mar 06, 2021",48855.6
"Mar 05, 2021",48792.5
"Mar 04, 2021",48428.0
"Mar 03, 2021",50395.1
"Mar 02, 2021",48424.2
"Mar 01, 2021",49595.5
"Feb 28, 2021",45164.0
"Feb 27, 2021",46136.7
"Feb 26, 2021",46345.6
"Feb 25, 2021",46928.5
"Feb 24, 2021",49697.5
"Feb 23, 2021",48911.2
"Feb 22, 2021",54111.8
"Feb 21, 2021",57433.8
"Feb 20, 2021",55923.7
"Feb 19, 2021",55906.6
"Feb 18, 2021",51582.2
"Feb 17, 2021",52079.2
"Feb 16, 2021",49169.7
"Feb 15, 2021",47936.3
"Feb 14, 2021",48643.4
"Feb 13, 2021",47168.7
"Feb 12, 2021",47371.7
"Feb 11, 2021",47990.7
"Feb 10, 2021",44836.0
"Feb 09, 2021",46508.6
"Feb 08, 2021",46395.7
"Feb 07, 2021",38852.9
"Feb 06, 2021",39256.6
"Feb 05, 2021",38297.6
"Feb 04, 2021",36982.1
"Feb 03, 2021",37646.8
"Feb 02, 2021",35485.2
"Feb 01, 2021",33515.7
"Jan 31, 2021",33108.1
"Jan 30, 2021",34283.1
"Jan 29, 2021",34301.8
"Jan 28, 2021",33374.8
"Jan 27, 2021",30404.0
"Jan 26, 2021",32502.1
"Jan 25, 2021",32252.3
"Jan 24, 2021",32241.3
"Jan 23, 2021",32088.9
"Jan 22, 2021",33000.5
"Jan 21, 2021",30842.1
"Jan 20, 2021",35476.3
"Jan 19, 2021",36002.9
"Jan 18, 2021",36613.2
"Jan 17, 2021",35839.6
"Jan 16, 2021",36019.5
"Jan 15, 2021",36845.8
"Jan 14, 2021",39175.7
"Jan 13, 2021",37382.2
"Jan 12, 2021",34076.1
"Jan 11, 2021",35544.3
"Jan 10, 2021",38192.2
"Jan 09, 2021",40151.9
"Jan 08, 2021",40599.3
"Jan 07, 2021",39460.2
"Jan 06, 2021",36793.2
"Jan 05, 2021",33991.5
"Jan 04, 2021",32022.6
"Jan 03, 2021",32958.9
"Jan 02, 2021",32193.3
"Jan 01, 2021",29359.9
"Dec 31, 2020",28949.4
"Dec 30, 2020",28868.7
"Dec 29, 2020",27376.0
"Dec 28, 2020",27057.8
"Dec 27, 2020",26261.3
"Dec 26, 2020",26454.4
"Dec 25, 2020",24689.6
"Dec 24, 2020",23736.5
"Dec 23, 2020",23257.9
"Dec 22, 2020",23823.2
"Dec 21, 2020",22728.5
"Dec 20, 2020",23474.9
"Dec 19, 2020",23844.0
"Dec 18, 2020",23127.9
"Dec 17, 2020",22825.4
"Dec 16, 2020",21352.2
"Dec 15, 2020",19434.9
"Dec 14, 2020",19273.8
"Dec 13, 2020",19176.8
"Dec 12, 2020",18808.9
"Dec 11, 2020",18023.6
"Dec 10, 2020",18247.2
"Dec 09, 2020",18546.0
"Dec 08, 2020",18326.6
"Dec 07, 2020",19170.7
"Dec 06, 2020",19379.9
"Dec 05, 2020",19146.5
"Dec 04, 2020",18658.1
"Dec 03, 2020",19433.3
"Dec 02, 2020",19218.8
"Dec 01, 2020",18770.7
"Nov 30, 2020",19698.1
"Nov 29, 2020",18185.5
"Nov 28, 2020",17730.7
"Nov 27, 2020",17127.1
"Nov 26, 2020",17162.0
"Nov 25, 2020",18723.0
"Nov 24, 2020",19152.6
"Nov 23, 2020",18379.6
"Nov 22, 2020",18412.9
"Nov 21, 2020",18687.2
"Nov 20, 2020",18675.2
"Nov 19, 2020",17803.5
"Nov 18, 2020",17774.6
"Nov 17, 2020",17662.3
"Nov 16, 2020",16715.8
"Nov 15, 2020",15953.0
"Nov 14, 2020",16071.0
"Nov 13, 2020",16324.2
"Nov 12, 2020",16294.7
"Nov 11, 2020",15695.8
"Nov 10, 2020",15303.6
"Nov 09, 2020",15327.2
"Nov 08, 2020",15483.7
"Nov 07, 2020",14828.4
"Nov 06, 2020",15577.9
"Nov 05, 2020",15587.1
"Nov 04, 2020",14145.6
"Nov 03, 2020",14019.9
"Nov 02, 2020",13561.4
"Nov 01, 2020",13759.4
"Oct 31, 2020",13797.3
"Oct 30, 2020",13559.9
"Oct 29, 2020",13457.2
"Oct 28, 2020",13278.9
"Oct 27, 2020",13657.8
"Oct 26, 2020",13061.6
"Oct 25, 2020",13032.2
"Oct 24, 2020",13117.2
"Oct 23, 2020",12934.1
"Oct 22, 2020",12974.6
"Oct 21, 2020",12808.7
"Oct 20, 2020",11913.5
"Oct 19, 2020",11753.4
"Oct 18, 2020",11506.9
"Oct 17, 2020",11362.1
"Oct 16, 2020",11322.0
"Oct 15, 2020",11503.0
"Oct 14, 2020",11420.4
"Oct 13, 2020",11423.8
"Oct 12, 2020",11533.9
"Oct 11, 2020",11371.0
"Oct 10, 2020",11298.4
"Oct 09, 2020",11054.2
"Oct 08, 2020",10924.1
